previewWindowSize,searchWindowSize,fileSize,fileSizeH
1,1,22351,1521
2,1,14910,1398
3,1,11202,1285
4,1,8984,1228
5,1,7496,1315
6,1,6447,1125
7,1,5659,1193
8,1,5049,1186
9,1,4566,1205
10,1,4539,1134
1,2,44670,1568
2,2,44681,1595
3,2,44681,1595
4,2,44681,1595
5,2,44681,1595
6,2,44681,1595
7,2,44681,1595
8,2,44681,1595
9,2,44681,1595
10,2,44681,1595
1,3,42691,1568
2,3,42577,1595
3,3,42565,1595
4,3,42553,1595
5,3,42553,1595
6,3,42553,1595
7,3,42553,1595
8,3,42553,1595
9,3,42553,1595
10,3,42553,1595
1,4,39072,1572
2,4,38617,1595
3,4,38484,1595
4,4,38472,1595
5,4,38472,1595
6,4,38472,1595
7,4,38472,1595
8,4,38472,1595
9,4,38472,1595
10,4,38472,1595
1,5,37114,1571
2,5,36571,1596
3,5,36438,1596
4,5,36426,1596
5,5,36426,1596
6,5,36426,1596
7,5,36426,1596
8,5,36426,1596
9,5,36426,1596
10,5,36426,1596
1,6,35145,1583
2,6,34503,1602
3,6,34315,1593
4,6,34303,1593
5,6,34303,1593
6,6,34303,1593
7,6,34303,1593
8,6,34303,1593
9,6,34303,1593
10,6,34303,1593
1,7,33451,1579
2,7,32765,1599
3,7,32500,1603
4,7,32477,1603
5,7,32477,1603
6,7,32477,1603
7,7,32477,1603
8,7,32477,1603
9,7,32477,1603
10,7,32477,1603
1,8,32527,1578
2,8,31753,1599
3,8,31477,1599
4,8,31454,1599
5,8,31454,1599
6,8,31454,1599
7,8,31454,1599
8,8,31454,1599
9,8,31454,1599
10,8,31454,1599
1,9,31658,1574
2,9,30851,1601
3,9,30553,1601
4,9,30530,1601
5,9,30530,1601
6,9,30530,1601
7,9,30530,1601
8,9,30530,1601
9,9,30530,1601
10,9,30530,1601
1,10,31197,1574
2,10,30204,1601
3,10,29818,1598
4,10,29794,1601
5,10,29783,1601
6,10,29783,1601
7,10,29783,1601
8,10,29783,1601
9,10,29783,1601
10,10,29783,1601
